Indicators:,cultural,borders,gatherings,manufacturing,contact,leisure,eateries,schools ,stores,last week,mean,rounded,round,date,average,std dev,change
Chile,1,2,2,-10,1,1,1,1,1,1.25,1.25,1,5,2020-06-19,2.727272727,0.578541912,0
Mexico,1,2,1,3,1,2,2,1,1,1.56,1.56,1,5,2020-06-19,2.727272727,0.578541912,0
CaliforniaUSA,4,3,3,4,3,3,3,1,4,3,3.11,3,5,2020-06-19,2.727272727,0.578541912,0.11
IllinoisUSA,2,3,2,4,3,2,3,2,3,2.67,2.67,2,5,2020-06-19,2.727272727,0.578541912,0
MichiganUSA,3,3,3,4,3,3,3,3,3,3,3.11,3,5,2020-06-19,2.727272727,0.578541912,0.11
NewYorkUSA,1,3,2,3,1,2,2,1,2,1.89,1.89,1,5,2020-06-19,2.727272727,0.578541912,0
TexasUSA,4,3,4,4,4,4,4,4,4,3.67,3.89,3,5,2020-06-19,2.727272727,0.578541912,0.22
AlbertaCanada,3,2,3,4,3,4,4,3,3,3.22,3.22,3,5,2020-06-19,2.727272727,0.578541912,0
BritishColumbiaCanada,3,2,2,3,3,2,4,2,3,2.56,2.67,2,5,2020-06-19,2.727272727,0.578541912,0.11
NewBrunswickCanada,3,2,3,4,4,4,4,3,4,3.44,3.44,3,5,2020-06-19,2.727272727,0.578541912,0
OntarioCanada,3,2,2,4,3,3,3,2,3,2.67,2.78,2,5,2020-06-19,2.727272727,0.578541912,0.11
QuebecCanada,3,2,2,4,3,3,2,2,4,2.44,2.78,2,5,2020-06-19,2.727272727,0.578541912,0.34
Belgium,3,3,2,4,4,3,4,4,4,3.44,3.44,3,6,2020-06-26,2.788461538,0.531201051,0
France,4,3,2,4,4,4,4,5,4,3,3.78,3,6,2020-06-26,2.788461538,0.531201051,0.78
Germany,4,3,2,4,4,4,4,3,4,3.44,3.56,3,6,2020-06-26,2.788461538,0.531201051,0.12
Ireland,2,3,2,3,1,3,2,1,4,2.33,2.33,2,6,2020-06-26,2.788461538,0.531201051,0
Luxembourg,4,3,4,4,3,3,4,3,4,3.56,3.56,3,6,2020-06-26,2.788461538,0.531201051,0
Netherlands,4,3,2,4,3,4,4,4,4,3.56,3.56,3,6,2020-06-26,2.788461538,0.531201051,0
Portugal,4,3,2,4,4,4,4,2,3,3.33,3.33,3,6,2020-06-26,2.788461538,0.531201051,0
Spain,4,3,4,4,3,4,3,3,4,3.33,3.56,3,6,2020-06-26,2.788461538,0.531201051,0.23
UnitedKingdom,1,3,2,3,1,2,2,2,2,2,2,2,6,2020-06-26,2.788461538,0.531201051,0
CzechRepublic,4,3,4,4,4,4,4,3,4,3.78,3.78,3,6,2020-06-26,2.788461538,0.531201051,0
Hungary,4,3,4,4,4,4,4,4,4,3.78,3.89,3,6,2020-06-26,2.788461538,0.531201051,0.11
Latvia,4,3,4,4,4,4,4,3,4,3.78,3.78,3,6,2020-06-26,2.788461538,0.531201051,0
Lithuania,4,3,4,4,4,4,4,4,4,3.89,3.89,3,6,2020-06-26,2.788461538,0.531201051,0
Poland,4,3,3,4,4,4,4,3,4,3.67,3.67,3,6,2020-06-26,2.788461538,0.531201051,0
Slovakia,4,3,4,4,4,4,4,4,4,3.89,3.89,3,6,2020-06-26,2.788461538,0.531201051,0
Austria,4,3,3,4,4,4,4,3,4,3.67,3.67,3,6,2020-06-26,2.788461538,0.531201051,0
Greece,4,3,3,-10,4,4,4,4,4,3.75,3.75,3,6,2020-06-26,2.788461538,0.531201051,0
Italy,4,3,4,4,3,4,4,2,4,3.44,3.56,3,6,2020-06-26,2.788461538,0.531201051,0.12
Slovenia,4,3,4,-10,4,4,4,4,3,3.88,3.75,3,6,2020-06-26,2.788461538,0.531201051,-0.13
Switzerland,4,3,4,-10,4,4,4,4,4,3.88,3.88,3,6,2020-06-26,2.788461538,0.531201051,0
Australia,3,2,3,4,3,3,3,4,3,3.11,3.11,3,6,2020-06-26,2.788461538,0.531201051,0
Israel,3,2,3,4,4,3,3,3,4,3.33,3.22,3,6,2020-06-26,2.788461538,0.531201051,-0.11
Japan,4,3,4,4,4,3,4,3,4,3.67,3.67,3,6,2020-06-26,2.788461538,0.531201051,0
NewZealand,5,2,5,4,5,5,5,5,4,4.44,4.44,4,6,2020-06-26,2.788461538,0.531201051,0
SouthKorea,3,3,3,4,4,3,3,4,4,3.56,3.44,3,6,2020-06-26,2.788461538,0.531201051,-0.12
Turkey,4,3,4,4,4,4,4,2,3,3.44,3.56,3,6,2020-06-26,2.788461538,0.531201051,0.12
Denmark,4,3,4,4,4,4,4,4,4,3.67,3.89,3,6,2020-06-26,2.788461538,0.531201051,0.22
Estonia,4,3,3,4,4,4,4,3,4,3.67,3.67,3,6,2020-06-26,2.788461538,0.531201051,0
Finland,4,3,4,4,4,4,4,4,4,3.78,3.89,3,6,2020-06-26,2.788461538,0.531201051,0.11
Iceland,4,3,4,4,4,4,4,4,4,3.89,3.89,3,6,2020-06-26,2.788461538,0.531201051,0
Norway,4,3,4,4,4,4,4,4,4,3.89,3.89,3,6,2020-06-26,2.788461538,0.531201051,0
Sweden,4,3,3,4,4,4,4,4,4,3.78,3.78,3,6,2020-06-26,2.788461538,0.531201051,0
Chile,1,2,2,-10,1,1,1,1,1,1.25,1.25,1,6,2020-06-26,2.788461538,0.531201051,0
Mexico,1,3,1,3,1,2,2,1,1,1.56,1.67,1,6,2020-06-26,2.788461538,0.531201051,0.11
California,4,3,3,4,3,3,3,3,4,3.11,3.33,3,6,2020-06-26,2.788461538,0.531201051,0.22
Illinois,3,3,3,4,3,3,3,3,3,2.67,3.11,3,6,2020-06-26,2.788461538,0.531201051,0.44
Michigan,3,3,3,4,3,3,3,3,3,3.11,3.11,3,6,2020-06-26,2.788461538,0.531201051,0
NewYork,1,3,2,3,3,2,3,1,3,1.89,2.33,2,6,2020-06-26,2.788461538,0.531201051,0.44
Texas,4,3,4,4,4,4,4,4,4,3.89,3.89,3,6,2020-06-26,2.788461538,0.531201051,0
Alberta,3,2,3,4,3,4,4,3,3,3.22,3.22,3,6,2020-06-26,2.788461538,0.531201051,0
BritishColumbia,3,2,2,3,3,3,4,2,3,2.67,2.78,2,6,2020-06-26,2.788461538,0.531201051,0.11
Manitoba,3,2,3,4,3,4,4,3,4,0,3.33,3,6,2020-06-26,2.788461538,0.531201051,0
NewBrunswick,4,2,3,4,4,4,4,3,4,3.44,3.56,3,6,2020-06-26,2.788461538,0.531201051,0.12
Newfoundland,3,2,2,-10,4,4,3,3,4,0,3.13,3,6,2020-06-26,2.788461538,0.531201051,0
NorthwestTerritories,2,2,2,4,4,3,3,1,3,0,2.67,2,6,2020-06-26,2.788461538,0.531201051,0
NovaScotia,3,2,3,4,4,4,3,3,4,0,3.33,3,6,2020-06-26,2.788461538,0.531201051,0
Nunavut,3,2,2,4,3,3,3,2,4,0,2.89,2,6,2020-06-26,2.788461538,0.531201051,0
Ontario,3,2,2,4,3,3,3,2,3,2.67,2.78,2,6,2020-06-26,2.788461538,0.531201051,0.11
PrinceEdwardIsland,2,2,3,4,4,4,3,3,4,0,3.22,3,6,2020-06-26,2.788461538,0.531201051,0
Quebec,4,2,2,4,4,4,4,3,4,2.78,3.44,3,6,2020-06-26,2.788461538,0.531201051,0.66
Saskatchewan,2,2,2,4,4,3,3,3,4,0,3,3,6,2020-06-26,2.788461538,0.531201051,0
Yukon,2,2,2,4,4,2,3,1,2,0,2.44,2,6,2020-06-26,2.788461538,0.531201051,0
Belgium,4,3,4,4,4,4,4,4,4,3.44,3.89,3,7,2020-07-06,2.846153846,0.495542259,0.45
France,4,3,2,4,4,4,4,5,4,3.78,3.78,3,7,2020-07-06,2.846153846,0.495542259,0
Germany,4,3,2,4,4,4,4,3,4,3.56,3.56,3,7,2020-07-06,2.846153846,0.495542259,0
Ireland,4,3,3,3,4,4,4,3,4,2.33,3.56,3,7,2020-07-06,2.846153846,0.495542259,1.23
Luxembourg,4,3,4,4,3,3,4,3,4,3.56,3.56,3,7,2020-07-06,2.846153846,0.495542259,0
Netherlands,4,3,4,4,4,4,4,4,4,3.56,3.89,3,7,2020-07-06,2.846153846,0.495542259,0.33
Portugal,4,3,2,4,4,4,3,2,3,3.33,3.22,3,7,2020-07-06,2.846153846,0.495542259,-0.11
Spain,4,3,4,4,4,4,4,3,4,3.56,3.78,3,7,2020-07-06,2.846153846,0.495542259,0.22
UnitedKingdom,4,3,2,4,3,3,4,2,3,2,3.11,3,7,2020-07-06,2.846153846,0.495542259,1.11
CzechRepublic,4,3,4,4,4,4,4,3,4,3.78,3.78,3,7,2020-07-06,2.846153846,0.495542259,0
Hungary,4,3,4,4,4,4,4,4,4,3.89,3.89,3,7,2020-07-06,2.846153846,0.495542259,0
Latvia,4,3,4,4,4,4,4,3,4,3.78,3.78,3,7,2020-07-06,2.846153846,0.495542259,0
Lithuania,4,3,4,4,4,4,4,4,4,3.89,3.89,3,7,2020-07-06,2.846153846,0.495542259,0
Poland,4,3,3,4,4,4,4,3,4,3.67,3.67,3,7,2020-07-06,2.846153846,0.495542259,0
Slovakia,4,3,4,4,4,4,4,4,4,3.89,3.89,3,7,2020-07-06,2.846153846,0.495542259,0
Austria,4,3,4,4,4,4,4,4,4,3.67,3.89,3,7,2020-07-06,2.846153846,0.495542259,0.22
Greece,4,3,3,-10,4,4,4,4,4,3.75,3.75,3,7,2020-07-06,2.846153846,0.495542259,0
Italy,4,3,4,4,4,4,4,2,4,3.56,3.67,3,7,2020-07-06,2.846153846,0.495542259,0.11
Slovenia,4,3,4,-10,4,4,4,4,4,3.75,3.88,3,7,2020-07-06,2.846153846,0.495542259,0.13
Switzerland,4,3,4,-10,4,4,4,4,4,3.88,3.88,3,7,2020-07-06,2.846153846,0.495542259,0
Australia,3,2,3,4,3,3,3,4,3,3.11,3.11,3,7,2020-07-06,2.846153846,0.495542259,0
Israel,3,2,3,4,4,3,3,3,4,3.22,3.22,3,7,2020-07-06,2.846153846,0.495542259,0
Japan,4,3,4,4,4,3,4,3,4,3.67,3.67,3,7,2020-07-06,2.846153846,0.495542259,0
NewZealand,5,2,5,4,5,5,5,5,4,4.44,4.44,4,7,2020-07-06,2.846153846,0.495542259,0
SouthKorea,3,3,3,4,4,3,3,4,4,3.44,3.44,3,7,2020-07-06,2.846153846,0.495542259,0
Turkey,4,3,4,4,4,4,4,2,3,3.56,3.56,3,7,2020-07-06,2.846153846,0.495542259,0
Denmark,4,3,4,4,4,4,4,4,4,3.89,3.89,3,7,2020-07-06,2.846153846,0.495542259,0
Estonia,4,3,4,4,4,4,4,4,4,3.67,3.89,3,7,2020-07-06,2.846153846,0.495542259,0.22
Finland,4,3,4,4,4,4,4,4,4,3.89,3.89,3,7,2020-07-06,2.846153846,0.495542259,0
Iceland,4,3,4,4,4,4,4,4,4,3.89,3.89,3,7,2020-07-06,2.846153846,0.495542259,0
Norway,4,3,4,4,4,4,4,4,4,3.89,3.89,3,7,2020-07-06,2.846153846,0.495542259,0
Sweden,4,3,3,4,4,4,4,4,4,3.78,3.78,3,7,2020-07-06,2.846153846,0.495542259,0
Chile,1,2,2,-10,1,1,1,1,1,1.25,1.25,1,7,2020-07-06,2.846153846,0.495542259,0
Mexico,1,3,1,3,1,2,2,1,1,1.67,1.67,1,7,2020-07-06,2.846153846,0.495542259,0
California,4,3,3,4,3,3,3,3,4,3.33,3.33,3,7,2020-07-06,2.846153846,0.495542259,0
Illinois,3,3,2,4,4,4,4,4,4,3.11,3.56,3,7,2020-07-06,2.846153846,0.495542259,0.45
Michigan,3,3,3,4,3,3,3,3,3,3.11,3.11,3,7,2020-07-06,2.846153846,0.495542259,0
NewYork,1,3,2,3,4,2,3,1,3,2.33,2.44,2,7,2020-07-06,2.846153846,0.495542259,0.11
Texas,4,3,4,4,4,4,3,4,4,3.89,3.78,3,7,2020-07-06,2.846153846,0.495542259,-0.11
Alberta,3,2,4,4,3,4,4,3,3,3.22,3.33,3,7,2020-07-06,2.846153846,0.495542259,0.11
BritishColumbia,3,2,2,3,3,3,4,2,3,2.78,2.78,2,7,2020-07-06,2.846153846,0.495542259,0
Manitoba,3,2,3,4,3,4,4,3,4,3.33,3.33,3,7,2020-07-06,2.846153846,0.495542259,0
NewBrunswick,4,2,3,4,4,4,4,3,4,3.56,3.56,3,7,2020-07-06,2.846153846,0.495542259,0
Newfoundland,3,2,2,4,4,4,3,3,4,3.13,3.22,3,7,2020-07-06,2.846153846,0.495542259,0.09
NorthwestTerritories,2,2,2,4,4,3,3,1,3,2.67,2.67,2,7,2020-07-06,2.846153846,0.495542259,0
NovaScotia,4,2,4,4,4,4,4,3,4,3.33,3.67,3,7,2020-07-06,2.846153846,0.495542259,0.34
Nunavut,3,2,3,4,3,3,3,3,4,2.89,3.11,3,7,2020-07-06,2.846153846,0.495542259,0.22
Ontario,3,2,2,4,3,3,3,2,3,2.78,2.78,2,7,2020-07-06,2.846153846,0.495542259,0
PrinceEdwardIsland,3,2,3,4,4,4,3,3,4,3.22,3.33,3,7,2020-07-06,2.846153846,0.495542259,0.11
Quebec,4,2,2,4,4,4,4,3,4,3.44,3.44,3,7,2020-07-06,2.846153846,0.495542259,0
Saskatchewan,4,2,2,4,4,4,4,3,4,3,3.44,3,7,2020-07-06,2.846153846,0.495542259,0.44
Yukon,2,2,2,4,4,3,4,1,2,2.44,2.67,2,7,2020-07-06,2.846153846,0.495542259,0.23
Belgium,4,3,4,4,4,4,4,4,4,3.89,3.89,3,8,2020-07-13,2.846153846,0.495542259,0
France,4,3,2,4,4,4,4,5,4,3.78,3.78,3,8,2020-07-13,2.846153846,0.495542259,0
Germany,4,3,2,4,4,4,4,3,4,3.56,3.56,3,8,2020-07-13,2.846153846,0.495542259,0
Ireland,4,3,3,3,4,4,4,3,4,3.56,3.56,3,8,2020-07-13,2.846153846,0.495542259,0
Luxembourg,4,3,4,4,3,3,4,3,4,3.56,3.56,3,8,2020-07-13,2.846153846,0.495542259,0
Netherlands,4,3,4,4,4,4,4,4,4,3.89,3.89,3,8,2020-07-13,2.846153846,0.495542259,0
Portugal,4,3,2,4,4,4,3,2,3,3.22,3.22,3,8,2020-07-13,2.846153846,0.495542259,0
Spain,4,3,4,4,4,4,4,3,4,3.78,3.78,3,8,2020-07-13,2.846153846,0.495542259,0
UnitedKingdom,4,3,2,4,4,3,4,2,3,3.11,3.22,3,8,2020-07-13,2.846153846,0.495542259,0.11
CzechRepublic,4,3,4,4,4,4,4,3,4,3.78,3.78,3,8,2020-07-13,2.846153846,0.495542259,0
Hungary,4,3,4,4,4,4,4,4,4,3.89,3.89,3,8,2020-07-13,2.846153846,0.495542259,0
Latvia,4,3,4,4,4,4,3,3,4,3.78,3.67,3,8,2020-07-13,2.846153846,0.495542259,-0.11
Lithuania,4,3,4,4,4,4,4,4,4,3.89,3.89,3,8,2020-07-13,2.846153846,0.495542259,0
Poland,4,3,3,4,4,4,4,3,4,3.67,3.67,3,8,2020-07-13,2.846153846,0.495542259,0
Slovakia,4,3,4,4,4,4,4,4,4,3.89,3.89,3,8,2020-07-13,2.846153846,0.495542259,0
Austria,4,3,4,4,4,4,4,4,4,3.89,3.89,3,8,2020-07-13,2.846153846,0.495542259,0
Greece,4,3,3,-10,4,4,4,4,4,3.75,3.75,3,8,2020-07-13,2.846153846,0.495542259,0
Italy,4,3,4,4,4,4,4,2,4,3.67,3.67,3,8,2020-07-13,2.846153846,0.495542259,0
Slovenia,4,3,2,-10,4,4,4,4,4,3.88,3.63,3,8,2020-07-13,2.846153846,0.495542259,-0.25
Switzerland,4,3,4,-10,4,4,4,4,4,3.88,3.88,3,8,2020-07-13,2.846153846,0.495542259,0
Australia,3,2,3,4,3,3,3,4,3,3.11,3.11,3,8,2020-07-13,2.846153846,0.495542259,0
Israel,2,2,2,4,4,3,3,3,4,3.22,3,3,8,2020-07-13,2.846153846,0.495542259,-0.22
Japan,4,3,4,4,4,4,4,3,4,3.67,3.78,3,8,2020-07-13,2.846153846,0.495542259,0.11
NewZealand,5,2,5,4,5,5,5,5,4,4.44,4.44,4,8,2020-07-13,2.846153846,0.495542259,0
SouthKorea,3,3,3,4,4,3,3,4,4,3.44,3.44,3,8,2020-07-13,2.846153846,0.495542259,0
Turkey,4,3,4,4,4,4,4,2,3,3.56,3.56,3,8,2020-07-13,2.846153846,0.495542259,0
Denmark,4,3,4,4,4,4,4,4,4,3.89,3.89,3,8,2020-07-13,2.846153846,0.495542259,0
Estonia,4,3,4,4,4,4,4,4,4,3.89,3.89,3,8,2020-07-13,2.846153846,0.495542259,0
Finland,4,3,4,4,4,4,4,4,4,3.89,3.89,3,8,2020-07-13,2.846153846,0.495542259,0
Iceland,4,3,4,4,4,4,4,4,4,3.89,3.89,3,8,2020-07-13,2.846153846,0.495542259,0
Norway,4,3,4,4,4,4,4,4,4,3.89,3.89,3,8,2020-07-13,2.846153846,0.495542259,0
Sweden,4,3,3,4,4,4,4,4,4,3.78,3.78,3,8,2020-07-13,2.846153846,0.495542259,0
Chile,1,2,2,-10,1,1,1,1,1,1.25,1.25,1,8,2020-07-13,2.846153846,0.495542259,0
Mexico,1,3,1,3,1,2,2,1,1,1.67,1.67,1,8,2020-07-13,2.846153846,0.495542259,0
California,4,3,3,4,3,3,3,3,4,3.33,3.33,3,8,2020-07-13,2.846153846,0.495542259,0
Illinois,3,3,2,4,4,4,4,4,4,3.56,3.56,3,8,2020-07-13,2.846153846,0.495542259,0
Michigan,3,3,3,4,3,3,3,3,3,3.11,3.11,3,8,2020-07-13,2.846153846,0.495542259,0
NewYork,2,3,2,3,4,2,3,1,3,2.44,2.56,2,8,2020-07-13,2.846153846,0.495542259,0.12
Texas,4,3,4,4,4,4,3,4,4,3.78,3.78,3,8,2020-07-13,2.846153846,0.495542259,0
Alberta,3,2,4,4,3,4,4,3,3,3.33,3.33,3,8,2020-07-13,2.846153846,0.495542259,0
BritishColumbia,3,2,2,3,3,3,4,2,3,2.78,2.78,2,8,2020-07-13,2.846153846,0.495542259,0
Manitoba,3,2,3,4,3,4,4,3,4,3.33,3.33,3,8,2020-07-13,2.846153846,0.495542259,0
NewBrunswick,4,2,3,4,4,4,4,3,4,3.56,3.56,3,8,2020-07-13,2.846153846,0.495542259,0
Newfoundland,3,2,2,4,4,4,3,3,4,3.22,3.22,3,8,2020-07-13,2.846153846,0.495542259,0
NorthwestTerritories,2,2,2,4,4,3,3,1,3,2.67,2.67,2,8,2020-07-13,2.846153846,0.495542259,0
NovaScotia,4,2,4,4,4,4,4,3,4,3.67,3.67,3,8,2020-07-13,2.846153846,0.495542259,0
Nunavut,3,2,3,4,3,3,3,3,4,3.11,3.11,3,8,2020-07-13,2.846153846,0.495542259,0
Ontario,3,2,2,4,3,3,3,2,3,2.78,2.78,2,8,2020-07-13,2.846153846,0.495542259,0
PrinceEdwardIsland,3,2,3,4,4,4,3,3,4,3.33,3.33,3,8,2020-07-13,2.846153846,0.495542259,0
Quebec,4,2,2,4,4,4,4,3,4,3.44,3.44,3,8,2020-07-13,2.846153846,0.495542259,0
Saskatchewan,4,2,2,4,4,4,4,3,4,3.44,3.44,3,8,2020-07-13,2.846153846,0.495542259,0
Yukon,2,2,2,4,4,3,4,1,2,2.67,2.67,2,8,2020-07-13,2.846153846,0.495542259,0
Belgium,4,3,4,4,4,4,4,4,4,3.89,3.89,3,9,2020-07-20,2.807692308,0.520298048,0
France,4,3,2,4,4,4,4,5,4,3.78,3.78,3,9,2020-07-20,2.807692308,0.520298048,0
Germany,4,3,2,4,4,4,4,3,4,3.56,3.56,3,9,2020-07-20,2.807692308,0.520298048,0
Ireland,3,3,3,3,4,4,4,3,4,3.56,3.44,3,9,2020-07-20,2.807692308,0.520298048,-0.12
Luxembourg,4,3,2,4,3,3,4,3,4,3.56,3.33,3,9,2020-07-20,2.807692308,0.520298048,-0.23
Netherlands,4,3,4,4,4,4,4,4,4,3.89,3.89,3,9,2020-07-20,2.807692308,0.520298048,0
Portugal,4,3,2,4,4,4,3,2,3,3.22,3.22,3,9,2020-07-20,2.807692308,0.520298048,0
Spain,4,3,4,4,4,4,4,3,4,3.78,3.78,3,9,2020-07-20,2.807692308,0.520298048,0
UnitedKingdom,4,3,2,4,4,3,4,3,3,3.22,3.33,3,9,2020-07-20,2.807692308,0.520298048,0.11
CzechRepublic,4,3,4,4,4,4,4,3,4,3.78,3.78,3,9,2020-07-20,2.807692308,0.520298048,0
Hungary,4,3,4,4,4,4,4,4,4,3.89,3.89,3,9,2020-07-20,2.807692308,0.520298048,0
Latvia,4,3,4,4,4,4,3,3,4,3.67,3.67,3,9,2020-07-20,2.807692308,0.520298048,0
Lithuania,4,3,4,4,4,4,4,4,4,3.89,3.89,3,9,2020-07-20,2.807692308,0.520298048,0
Poland,4,3,4,4,4,4,4,3,4,3.67,3.78,3,9,2020-07-20,2.807692308,0.520298048,0.11
Slovakia,4,3,4,4,4,4,4,4,4,3.89,3.89,3,9,2020-07-20,2.807692308,0.520298048,0
Austria,4,3,4,4,4,4,4,4,4,3.89,3.89,3,9,2020-07-20,2.807692308,0.520298048,0
Greece,4,3,3,-10,4,4,4,4,4,3.75,3.75,3,9,2020-07-20,2.807692308,0.520298048,0
Italy,4,3,4,4,4,4,4,2,4,3.67,3.67,3,9,2020-07-20,2.807692308,0.520298048,0
Slovenia,4,3,2,-10,4,4,4,4,4,3.63,3.63,3,9,2020-07-20,2.807692308,0.520298048,0
Switzerland,4,3,4,-10,4,4,4,4,4,3.88,3.88,3,9,2020-07-20,2.807692308,0.520298048,0
